"DirectoryPath","Confidence Score","Photos Directory?"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\jorr\node_modules\svelte\src\runtime\animate","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj3\jorr\node_modules\resolve\test\resolver\false_main","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj2\jorr\node_modules\@babel\types\lib\asserts","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\jorr\node_modules\svelte-hmr\lib","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\loginmsgs\jorr\node_modules\acorn","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj3\jorr\node_modules\@nodelib\fs.walk\out\readers","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\jorr\node_modules\graceful-fs","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\test\jorr\node_modules\svelte\src\compiler\compile\render_dom\wrappers\Element","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj2\jorr\node_modules\@nodelib\fs.scandir\out\adapters","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj5\jorr\node_modules\argparse","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj3\jorr\node_modules\jest-mock","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\jorr\node_modules\rollup\dist\es","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\jorr\node_modules\@playwright\test","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj5\jorr\node_modules\is-binary-path","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj5\jorr\node_modules\which","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj3\jorr\node_modules\minimatch","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\loginmsgs\jorr\node_modules\sorcery","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj3\jorr\node_modules\parent-module","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj2\jorr\node_modules\aria-query\lib","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\jorr\node_modules\css-tree\dist","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\jorr\node_modules\@sveltejs\kit\src\utils","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\loginmsgs\jorr\node_modules\svelte-check","0","No"
